tanggal,rr
11/28/2018,106.4
11/29/2018,7.2
11/30/2018,8.6
12/1/2018,1
12/2/2018,0
12/3/2018,
12/4/2018,25.6
12/5/2018,91
12/6/2018,22.3
12/7/2018,17.3
12/8/2018,59.1
12/9/2018,0.3
12/10/2018,0
12/11/2018,15.4
12/12/2018,
12/13/2018,0
12/14/2018,0.3
12/15/2018,9.9
12/16/2018,8
12/17/2018,1
12/18/2018,0
12/19/2018,6.3
12/20/2018,0
12/21/2018,3.2
12/22/2018,1.5
12/23/2018,14
12/24/2018,8
12/25/2018,4
12/26/2018,15
12/27/2018,0
12/28/2018,0
12/29/2018,0
12/30/2018,
12/31/2018,15
1/1/2019,0
1/2/2019,3.6
1/3/2019,12.4
1/4/2019,22.4
1/5/2019,26.2
1/6/2019,8
1/7/2019,41.3
1/8/2019,4
1/9/2019,0
1/10/2019,13.2
1/11/2019,0
1/12/2019,0
1/13/2019,0
1/14/2019,16.6
1/15/2019,10.9
1/16/2019,19.8
1/17/2019,15.9
1/18/2019,18.1
1/19/2019,4.2
1/20/2019,2.8
1/21/2019,8.5
1/22/2019,12.6
1/23/2019,19.2
1/24/2019,4.9
1/25/2019,20.7
1/26/2019,28.7
1/27/2019,1.3
1/28/2019,10
1/29/2019,0
1/30/2019,35
1/31/2019,61.8
2/1/2019,0.4
2/2/2019,15.9
2/3/2019,0
2/4/2019,0
2/5/2019,30.7
2/6/2019,1
2/7/2019,6.4
2/8/2019,31.5
2/9/2019,2.9
2/10/2019,0
2/11/2019,10.5
2/12/2019,2.2
2/13/2019,0
2/14/2019,16.1
2/15/2019,1
2/16/2019,1.3
2/17/2019,28.1
2/18/2019,0
2/19/2019,6.5
2/20/2019,4
2/21/2019,25.6
2/22/2019,5.3
2/23/2019,0.3
2/24/2019,56.3
2/25/2019,25
2/26/2019,29.3
2/27/2019,11.6
2/28/2019,12.2
3/1/2019,9.2
3/2/2019,30.9
3/3/2019,28.3
3/4/2019,5
3/5/2019,0
3/6/2019,19.7
3/7/2019,41.5
3/8/2019,0.5
3/9/2019,0
3/10/2019,0
3/11/2019,3.5
3/12/2019,6.9
3/13/2019,2.4
3/14/2019,19.3
3/15/2019,4
3/16/2019,47
3/17/2019,16.5
3/18/2019,106.9
3/19/2019,0.7
3/20/2019,6.6
3/21/2019,
3/22/2019,30.7
3/23/2019,55.8
3/24/2019,33.9
3/25/2019,6.2
3/26/2019,0
3/27/2019,2.7
3/28/2019,1.2
3/29/2019,8.6
3/30/2019,0
3/31/2019,0
4/1/2019,52.2
4/2/2019,21.8
4/3/2019,
4/4/2019,3
4/5/2019,46.3
4/6/2019,46.3
4/7/2019,0
4/8/2019,0
4/9/2019,10.1
4/10/2019,0
4/11/2019,0
4/12/2019,15.6
4/13/2019,0
4/14/2019,0.8
4/15/2019,0
4/16/2019,12.5
4/17/2019,23.6
4/18/2019,30.4
4/19/2019,0
4/20/2019,0
4/21/2019,4.7
4/22/2019,0
4/23/2019,0
4/24/2019,0
4/25/2019,1.5
4/26/2019,0
4/27/2019,0
4/28/2019,0
4/29/2019,17.1
4/30/2019,76.5
5/1/2019,3.2
5/2/2019,0
5/3/2019,6.4
5/4/2019,0
5/5/2019,0
5/6/2019,0
5/7/2019,25.4
5/8/2019,0.7
5/9/2019,
5/10/2019,0
5/11/2019,0
5/12/2019,0
5/13/2019,0
5/14/2019,0
5/15/2019,0
5/16/2019,0
5/17/2019,0
5/18/2019,0
5/19/2019,0
5/20/2019,0
5/21/2019,0
5/22/2019,0
5/23/2019,
5/24/2019,0
5/25/2019,0
5/26/2019,0
5/27/2019,7.8
5/28/2019,
5/29/2019,0
5/30/2019,0
5/31/2019,0
6/1/2019,0
6/2/2019,0
6/3/2019,0
6/4/2019,0
6/5/2019,0
6/6/2019,0
6/7/2019,0
6/8/2019,0
6/9/2019,0
6/10/2019,0
6/11/2019,0
6/12/2019,0
6/13/2019,0
6/14/2019,0.7
6/15/2019,0
6/16/2019,0
6/17/2019,
6/18/2019,0
6/19/2019,0
6/20/2019,0
6/21/2019,0
6/22/2019,0
6/23/2019,0
6/24/2019,0
6/25/2019,0
6/26/2019,0
6/27/2019,0
6/28/2019,0
6/29/2019,0
6/30/2019,0
7/1/2019,0
7/2/2019,0
7/3/2019,0
7/4/2019,0
7/5/2019,1.8
7/6/2019,0
7/7/2019,0
7/8/2019,0
7/9/2019,0
7/10/2019,0
7/11/2019,0
7/12/2019,0
7/13/2019,0
7/14/2019,0
7/15/2019,0
7/16/2019,0
7/17/2019,0
7/18/2019,0
7/19/2019,0
7/20/2019,0
7/21/2019,0
7/22/2019,0
7/23/2019,0
7/24/2019,0
7/25/2019,0
7/26/2019,0
7/27/2019,0
7/28/2019,0
7/29/2019,0
7/30/2019,0
7/31/2019,0
8/1/2019,0
8/2/2019,0
8/3/2019,0
8/4/2019,0
8/5/2019,0
8/6/2019,0
8/7/2019,0
8/8/2019,0
8/9/2019,0
8/10/2019,
8/11/2019,0
8/12/2019,0
8/13/2019,0
8/14/2019,0
8/15/2019,0
8/16/2019,0
8/17/2019,0
8/18/2019,0
8/19/2019,0
8/20/2019,0
8/21/2019,0
8/22/2019,0
8/23/2019,0
8/24/2019,0
8/25/2019,0
8/26/2019,1.3
8/27/2019,0
8/28/2019,0
8/29/2019,0
8/30/2019,0
8/31/2019,0
9/1/2019,0
9/2/2019,0
9/3/2019,0
9/4/2019,0
9/5/2019,0
9/6/2019,0
9/7/2019,0
9/8/2019,0
9/9/2019,0
9/10/2019,0
9/11/2019,0
9/12/2019,0
9/13/2019,0
9/14/2019,0
9/15/2019,0
9/16/2019,0
9/17/2019,0
9/18/2019,0
9/19/2019,0
9/20/2019,0
9/21/2019,0
9/22/2019,0
9/23/2019,0
9/24/2019,0
9/25/2019,0
9/26/2019,0
9/27/2019,0
9/28/2019,0
9/29/2019,0
9/30/2019,0
10/1/2019,0
10/2/2019,0
10/3/2019,0
10/4/2019,0
10/5/2019,0
10/6/2019,0
10/7/2019,0
10/8/2019,0
10/9/2019,0
10/10/2019,0
10/11/2019,0
10/12/2019,0
10/13/2019,0
10/14/2019,0
10/15/2019,0
10/16/2019,0
10/17/2019,0
10/18/2019,0
10/19/2019,0
10/20/2019,0
10/21/2019,0
10/22/2019,0
10/23/2019,0
10/24/2019,0
10/25/2019,0
10/26/2019,0
10/27/2019,0
10/28/2019,0
10/29/2019,2.5
10/30/2019,0
10/31/2019,0
11/1/2019,33
11/2/2019,5.2
11/3/2019,1.6
11/4/2019,1
11/5/2019,0
11/6/2019,0
11/7/2019,0
11/8/2019,0
11/9/2019,0
11/10/2019,0
11/11/2019,0
11/12/2019,0
11/13/2019,1.3
11/14/2019,15
11/15/2019,0
11/16/2019,0
11/17/2019,0
11/18/2019,0
11/19/2019,0
11/20/2019,0
11/21/2019,0
11/22/2019,0
11/23/2019,0
11/24/2019,37.8
11/25/2019,7.2
11/26/2019,0
11/27/2019,0
11/28/2019,0
11/29/2019,0
11/30/2019,34.9
12/1/2019,2
12/2/2019,0
12/3/2019,0
12/4/2019,13
12/5/2019,0
12/6/2019,
12/7/2019,29.4
12/8/2019,14.5
12/9/2019,0
12/10/2019,3.4
12/11/2019,35.7
12/12/2019,12.6
12/13/2019,1.1
12/14/2019,12.8
12/15/2019,55.3
12/16/2019,
12/17/2019,6.2
12/18/2019,15.6
12/19/2019,23
12/20/2019,10.5
12/21/2019,0
12/22/2019,14.5
12/23/2019,13.7
12/24/2019,0
12/25/2019,1.6
12/26/2019,9.2
12/27/2019,0
12/28/2019,48.4
12/29/2019,2.3
12/30/2019,4.5
12/31/2019,8.7
1/1/2020,29.5
1/2/2020,30.9
1/3/2020,13.3
1/4/2020,46.6
1/5/2020,3
1/6/2020,
